Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Kisah Tanah Jawa: Merapi;2019;18+; Horror            ;43;7,8;37;Faozan Rizal;Deva Mahenra;Joshua Suherman;Laura Basuki;Laura Theux
Negeri Dongeng;2017;SU; Documentary            ;98;8,9;8;Anggi Frisca;;;;
Workingman's Death;2005;13+; Documentary            ;122;7,9;1757;Michael Glawogger;;;;
Magic Hour;2015;18+; Comedy, Drama            ;96;8,7;6;Asep Kusdinar;Dimas Anggara;Michelle Ziudith;Rizky Nazar;Nadya Arina
Jakarta Love Story;2015;13+; Romance            ;50;1,8;6;Vemmy Sagita;Irish Bella;Rezky Adhitya;Rionaldo Stockhorst;Mischa Chandrawinata
Homebound;2022;13+; Documentary, Short            ;10;4,3;6;Ismail Fahmi Lubish;;;;
Cherrybelle: Chibi Chibi Burger;2012;13+; Drama           ;83;4,3;6;Akbar de Wighar;Cherly Yuliana Anggraini;Margareth Angelina;Brigitta Cynthia;Jessyca Stefani Auryn
RONG (Hole);2018;SU; Short, Drama, Family            ;35;2,9;7;Sri Nugroho;;;;
Srimulat: Hil yang Mustahal - Babak Kedua;2022;SU; Biography, Comedy, Drama            ;110;7;7;Fajar Nugros;;;;
Before You Eat;2022;18+; Documentary            ;96;4,6;7;Kasan Kurdi;;;;
Once Upon a Time in Chinatown;2021;SU; Documentary            ;83;9,4;8;Zack Lee;Tirta Lie;Zack Lee;Lie Tek Kwie;
Joko;2017;SU; Short, Drama            ;21;8,9;19;Suryo Adhi Wiyogo;;;;
Xabi: A Phantasmagoric Adventure;2021;SU; Short            ;25;9,8;31;Nosa Normanda;;;;
Fairish the Series;2005;13+; Drama            ;83;5,7;43;Nadia Edward;;;;
A Boarding School;2019;SU; Documentary            ;105;4,9;55;Shalahuddin Siregar;;;;
Cowboys in Paradise;2009;SU; Documentary, News            ;83;7,6;67;Amit Virmani;;;;
Panah Asmara Arjuna;2014;13+; Reality-TV            ;45;8,7;20;Shaheer Sheikh;;;;
Pamurba Yatmaka Cakra Bhirawa;2015;SU; Documentary            ;45;6,9;106;Kamerad Edmond;;;;
Jalanan;2013;SU; Documentary, Drama, Music            ;108;8;192;Daniel Ziv;;;;
The Sako Tapes;2019;SU; Documentary, Drama, History            ;74;8,5;15;Machiel van den Heuvel;;;;
Black Winter;2021;SU; Animation, Short            ;7;8,4;157;Noviandra Santosa;;;;
Position Among the Stars;2010;SU; Documentary, History            ;115;7,9;299;Leonard Retel Helmrich;;;;
Toilet Blues;2012;SU; Drama            ;87;5,9;20;Dirmawan Hatta;;;;
December;2015;SU; Short, Drama            ;28;7,2;5;Sidharta Tata;;;;
Jalanin Aja;2017;SU; Short, Drama            ;12;1,6;6;Joko Anwar;;;;
Girls for Future;2021;SU; Documentary            ;88;6,4;8;Irja von Bernstorff;;;;
Salah;2010;SU; Short, Drama            ;10;5,8;10;Icang Rizal Rakhmandar;;;;
The Unseen Words;2017;SU; Documentary, Short            ;27;1,5;12;Wahyu Utami;;;;
Single and Hopefully Happy;2015;SU; Drama            ;83;4,5;14;Kho Michael;;;;
Tales of the Waria;2011;13+; Documentary, Romance            ;57;7,5;16;Kathy Huang;;;;
Sunya;2016;13+; Drama, Fantasy, Mystery            ;88;8,8;13;Hari Suhariyadi;;;;
Prison and Paradise;2010;17+; Documentary            ;93;4,6;13;Daniel Rudi Haryanto;;;;
Menerobos Batas;2000;SU; Documentary, Short            ;17;7,3;13;Wahyu Utami;;;;
