Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Kisah Tanah Jawa: Merapi;2019;18+; Horror            ;43 min;7,8;37;Faozan Rizal;Deva Mahenra;Joshua Suherman;Laura Basuki;Laura Theux
Negeri Dongeng;2017;SU; Documentary            ;98 min;8,9;8;Anggi Frisca;;N/A;N/A;N/A
Workingman's Death;2005;13+; Documentary            ;122 min;7,9;1,757;Michael Glawogger;;N/A;N/A;N/A
Magic Hour;2015;18+; Comedy, Drama            ;96 min;8,7;6;Asep Kusdinar;Dimas Anggara;Michelle Ziudith;Rizky Nazar;Nadya Arina
Jakarta Love Story;2015;13+; Romance            ;50 min;;;Vemmy Sagita;Irish Bella;Rezky Adhitya;Rionaldo Stockhorst;Mischa Chandrawinata
Homebound;2022;13+; Documentary, Short            ;10 min;;;Ismail Fahmi Lubish;;N/A;N/A;N/A
Cherrybelle: Chibi Chibi Burger;2012;13+; Drama           ;;;;Akbar de Wighar;Cherly Yuliana Anggraini;Margareth Angelina;Brigitta Cynthia;Jessyca Stefani Auryn
RONG (Hole);2018;SU; Short, Drama, Family            ;35 min;;;Sri Nugroho;;N/A;N/A;N/A
Srimulat: Hil yang Mustahal - Babak Kedua;2022;SU; Biography, Comedy, Drama            ;110 min;;;Fajar Nugros;;N/A;N/A;N/A
Before You Eat;2022;18+; Documentary            ;96 min;;;Kasan Kurdi;;N/A;N/A;N/A
Once Upon a Time in Chinatown;2021;SU; Documentary            ;;9,4;8;Zack Lee;Tirta Lie;Zack Lee;Lie Tek Kwie;N/A
Joko;2017;SU; Short, Drama            ;21 min;;;Suryo Adhi Wiyogo;;N/A;N/A;N/A
Xabi: A Phantasmagoric Adventure;2021;SU; Short            ;25 min;;;Nosa Normanda;;N/A;N/A;N/A
Fairish the Series;2005;13+; Drama            ;;;;Nadia Edward;;N/A;N/A;N/A
A Boarding School;2019;SU; Documentary            ;105 min;;;Shalahuddin Siregar;;N/A;N/A;N/A
Cowboys in Paradise;2009;SU; Documentary, News            ;83 min;7,6;67;Amit Virmani;;N/A;N/A;N/A
Panah Asmara Arjuna;2014;13+; Reality-TV            ;45 min;8,7;20;Shaheer Sheikh;;N/A;N/A;N/A
Pamurba Yatmaka Cakra Bhirawa;2015;SU; Documentary            ;45 min;;;Kamerad Edmond;;N/A;N/A;N/A
Jalanan;2013;SU; Documentary, Drama, Music            ;108 min;8;192;Daniel Ziv;;N/A;N/A;N/A
The Sako Tapes;2019;SU; Documentary, Drama, History            ;74 min;8,5;15;Machiel van den Heuvel;;N/A;N/A;N/A
Black Winter;2021;SU; Animation, Short            ;7 min;;;Noviandra Santosa;;N/A;N/A;N/A
Position Among the Stars;2010;SU; Documentary, History            ;115 min;7,9;299;Leonard Retel Helmrich;;N/A;N/A;N/A
Toilet Blues;2012;SU; Drama            ;87 min;5,9;20;Dirmawan Hatta;;N/A;N/A;N/A
December;2015;SU; Short, Drama            ;28 min;7,2;5;Sidharta Tata;;N/A;N/A;N/A
Jalanin Aja;2017;SU; Short, Drama            ;12 min;;;Joko Anwar;;N/A;N/A;N/A
Girls for Future;2021;SU; Documentary            ;88 min;;;Irja von Bernstorff;;N/A;N/A;N/A
Salah;2010;SU; Short, Drama            ;10 min;;;Icang Rizal Rakhmandar;;N/A;N/A;N/A
The Unseen Words;2017;SU; Documentary, Short            ;27 min;;;Wahyu Utami;;N/A;N/A;N/A
Single and Hopefully Happy;2015;SU; Drama            ;;;;Kho Michael;;N/A;N/A;N/A
Tales of the Waria;2011;13+; Documentary, Romance            ;57 min;7,5;16;Kathy Huang;;N/A;N/A;N/A
Sunya;2016;13+; Drama, Fantasy, Mystery            ;88 min;8,8;13;Hari Suhariyadi;;N/A;N/A;N/A
Prison and Paradise;2010;17+; Documentary            ;93 min;;;Daniel Rudi Haryanto;;N/A;N/A;N/A
Menerobos Batas;2000;SU; Documentary, Short            ;17 min;;;Wahyu Utami;;N/A;N/A;N/A
Once Upon a Time in Yogyakarta;2017;SU; Short, Drama            ;12 min;;;Dwi Saputro;;N/A;N/A;N/A
Dream Chasers: Garuda Select;2018;SU; Short            ;12 min;;;Dennis Wise;;N/A;N/A;N/A
Renita, Renita;2007;SU; Short            ;16 min;;;Tonny Trimarsanto;;N/A;N/A;N/A
Angin kemarau;2003;SU; Short            ;16 min;;;Lono Abdul Hamid;;N/A;N/A;N/A
Go Local or Go Home;2020;SU; Adventure, Comedy, Reality-TV            ;25 min;;;Mentari De Marelle;;N/A;N/A;N/A
Help is on the Way;2020;SU; Documentary            ;91 min;7,5;13;Ismail Fahmi Lubish;;N/A;N/A;N/A
Where Heaven Meets Hell;2013;SU; Documentary, Drama, Family            ;80 min;7,2;19;Sasha Friedlander;;N/A;N/A;N/A
